PWSID,Water System Name,Groundwater,Surface Water,Purchased,Total,Count of Source Types,Presence of Interties,Number of Interties,Risk Score,Percent Rank (rank of a score as a percentage),Percent In Basin,
CA1000577,DUNLAP LEADERSHIP ACADEMY,1,0,0,1,1,N,None,83.75,98.50%,0.00%,
CA0400063,MANZANITA ELEMENTARY SCHOOL,1,0,0,1,1,N,None,77.07,96.20%,0.00%,
CA2400099,GRACE MENNONITE SCHOOL,1,0,0,1,1,N,None,57.14,57.90%,100.00%,
CA2701241,ENCINAL RD WS #01,1,0,0,1,1,N,None,60.61,67.50%,14.75%,
CA1700519,CRESCENT BAY IMPROVEMENT COMPANY,0,1,0,1,1,N,None,76.00,95.60%,0.00%,
CA1500442,SUNSET APARTMENTS WS,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA1000369,ZONNEVELD DAIRY - CEDAR,1,0,0,1,1,N,None,67.71,83.00%,100.00%,
CA2000538,CEDAR VALLEY MUTUAL WATER CO,1,0,0,1,1,N,None,85.69,99.00%,0.00%,
CA1502620,POND MUTUAL WATER COMPANY,1,0,0,1,1,N,None,65.36,78.20%,100.00%,
CA1500458,R.S. MUTUAL WATER COMPANY,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA2600568,EDNA BEAMAN ELEMENTARY SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5100141,MERIDIAN ELEMENTARY SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA1502221,POND SCHOOL WATER SYSTEM,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA3601048,BARTON FLATS WATER SYSTEM,0,1,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA2400075,EL NIDO ELEMENTARY SCHOOL,1,0,0,1,1,N,None,81.37,97.90%,100.00%,
CA1000546,FCSA #49/ FIVE POINTS,0,1,0,1,1,N,None,39.60,14.20%,100.00%,
CA1900038,LANCASTER PARK MOBILE HOME PARK,1,0,0,1,1,N,None,72.90,92.50%,0.00%,
CA5400523,EL MONTE VILLAGE MHP,1,0,0,1,1,N,None,52.96,45.40%,100.00%,
CA2000785,VALLEY TEEN RANCH,1,0,0,1,1,N,None,86.45,99.20%,100.00%,
CA1500096,OLD RIVER MUTUAL WATER COMPANY,1,0,0,1,1,N,None,84.74,98.80%,100.00%,
CA1500455,WILLIAM FISHER MEMORIAL WATER COMPANY,1,0,0,1,1,N,None,77.11,96.30%,0.00%,
CA1400004,CHARLES BROWN WATER COMPANY,1,0,0,1,1,N,None,60.25,66.60%,0.00%,
CA5400616,LEMON COVE WATER CO,1,0,0,1,1,N,None,70.66,89.00%,100.00%,
CA5400735,RODRIGUEZ LABOR CAMP,1,0,0,1,1,N,None,66.12,79.70%,100.00%,
CA2000800,MARQUEZ RENTAL,1,0,0,1,1,N,None,67.77,83.30%,100.00%,
CA2701063,RIVER RD WS #25,1,0,0,1,1,N,None,69.43,86.70%,100.00%,
CA2000602,RIPPERDAN COMMUNITY DAY SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA3301330,INDIAN OAKS TRAILER PARK,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA1502607,PIUTE MOUNTAIN SCHOOL WATER,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA1503140,FRAZIER MOUNTAIN HIGH SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA2701221,WASHINGTON  SCHOOL WS,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA3700118,CAMP LOCKETT MIDDLE SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA2702317,MISSION SCHOOL WS,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA3900978,SJ COUNTY-REDWOOD SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5400844,ELBOW CREEK SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5400704,THREE RIVERS ELEMENTARY SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5100149,BARRY ELEMENTARY SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5400602,EAGLE'S NEST RESORT,1,0,0,1,1,N,None,89.76,99.70%,100.00%,
CA5401003,EAST OROSI CSD,2,0,0,2,1,N,None,66.61,80.50%,100.00%,
CA1010044,"HURON, CITY OF",0,1,0,1,1,N,None,45.95,26.50%,100.00%,
CA5410007,LSID - TONYVILLE,5,1,0,6,2,N,None,50.93,39.40%,100.00%,
CA5400519,PALO VERDE SCHOOL,1,0,0,1,1,N,None,69.48,86.70%,100.00%,
CA2400071,WASHINGTON SCHOOL,1,0,0,1,1,N,None,84.77,98.80%,100.00%,
CA5400538,ACCELERATED CHARTER HIGH SCHOOL,1,0,0,1,1,N,None,67.65,83.00%,100.00%,
CA1000445,LINDA VISTA FARMS,1,0,0,1,1,N,None,92.27,99.80%,0.00%,
CA0900102,GOLD BEACH PARK,1,0,0,1,1,N,None,78.09,96.80%,0.00%,
CA1500459,LAKE OF THE WOODS MOBILE VILLAGE,1,0,0,1,1,N,None,72.93,92.60%,0.00%,
CA3701341,QUIET OAKS MOBILE HOME PARK,1,0,0,1,1,N,None,100.30,100.00%,0.00%,
CA2000729,MADERA CO SA16 SUMNER HILL-WATER SYSTEM,0,1,0,1,1,N,None,37.00,9.80%,100.00%,
CA1502383,NORD ROAD WATER ASSOCIATION,1,0,0,1,1,N,None,67.96,84.10%,100.00%,
CA1500561,ROUND MOUNTAIN WATER COMPANY,2,0,0,2,1,N,None,46.88,28.50%,100.00%,
CA4100529,CAMP LOMA MAR,0,1,0,1,1,N,None,68.97,85.90%,0.00%,
CA1500413,TEJON RANCH MAIN HEADQUARTERS,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5000316,HAKAM MISSON,1,0,0,1,1,N,None,59.75,65.10%,100.00%,
CA5000080,COUNTRY WESTERN MOBILE HOME PARK,1,0,0,1,1,N,None,72.60,91.80%,100.00%,
CA1000057,DEL ORO WATER CO - METROPOLITAN DISTRICT,1,0,0,1,1,N,None,48.88,33.40%,100.00%,
CA3710009,DESCANSO COMMUNITY SERVICES DISTRICT,1,0,0,1,1,N,None,61.76,70.20%,0.00%,
CA0400060,HONCUT ELEMENTARY SCHOOL,2,0,0,2,1,N,None,66.80,80.90%,0.00%,
CA1000181,ALVINA SCHOOL,1,0,0,1,1,N,None,58.69,62.10%,100.00%,
CA1000180,ALTA ELEMENTARY SCHOOL,1,0,0,1,1,N,None,58.21,60.80%,100.00%,
CA1000196,RIVERVIEW SCHOOL,1,0,0,1,1,N,None,58.30,61.10%,100.00%,
CA2400097,CRESSEY SCHOOL,1,0,0,1,1,N,None,53.72,47.90%,100.00%,
CA4800561,SNUG HARBOR RESORT,2,0,0,2,1,N,None,53.09,46.10%,100.00%,
CA3400164,"VIEIRA'S RESORT, INC",3,0,0,3,1,N,None,51.34,40.60%,100.00%,
CA1000359,FCSA #32/CANTUA CREEK,0,1,0,1,1,N,None,64.17,76.00%,100.00%,
CA1500566,SPRING MOUNTAIN MUTUAL WATER COMPANY,2,0,0,2,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA3900649,GLENWOOD MOBILE HOME PARK,1,0,0,1,1,N,None,69.50,86.80%,100.00%,
CA1009051,"CANTUA CREEK VINEYARDS, IV, LLC.",1,0,0,1,1,N,None,69.98,87.80%,100.00%,
CA2000526,PIKE RANCH MUTUAL WATER CO,1,0,0,1,1,N,None,69.23,86.40%,0.00%,
CA5410050,ALPAUGH COMMUNITY SERVICES DISTRICT,2,0,0,2,1,N,None,57.70,59.30%,100.00%,
CA4000775,MUSTANG SPRINGS MUTUAL WATER,1,0,0,1,1,N,None,72.57,91.70%,100.00%,
CA5400709,SEQUOIA UNION ELEMENTARY SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,100.00%,
CA2000551,MD 07 MARINA VIEW HEIGHTS,3,0,0,3,1,N,None,90.63,99.70%,0.00%,
CA4400763,BUENA VISTA MIGRANT CENTER,1,0,0,1,1,N,None,56.46,55.40%,100.00%,
CA1500540,PINON VALLEY WATER COMPANY,1,0,0,1,1,N,None,56.17,54.50%,0.00%,
CA3301491,ALPINE VILLAGE,5,0,0,5,1,N,None,74.42,94.60%,0.00%,
CA0600008,COLUSA CO. WWD #1 - GRIMES,2,0,0,2,1,N,None,72.86,92.40%,100.00%,
CA1500475,KRISTA MUTUAL WATER COMPANY,1,0,0,1,1,N,None,81.17,97.80%,0.00%,
CA3900705,FINNLEES TRAILER PARK,1,0,0,1,1,N,None,49.67,35.80%,100.00%,
CA1502744,60TH STREET ASSOC. WATER SYSTEM,1,0,0,1,1,N,None,88.58,99.50%,0.00%,
CA5000061,MARTIN'S MOBILE HOME COURT,1,0,0,1,1,N,None,61.42,69.40%,100.00%,
CA1900520,THE VILLAGE MOBILE HOME PARK,1,0,0,1,1,N,None,82.63,98.10%,0.00%,
CA1610009,KETTLEMAN CITY CSD,1,1,0,2,2,N,None,62.37,71.90%,0.00%,
CA5000033,COBLES CORNER,1,0,0,1,1,N,None,57.03,57.50%,100.00%,
CA3900579,CENTURY MOBILE HOME PARK,1,0,0,1,1,N,None,54.91,50.70%,100.00%,
CA5000218,COUNTRY VILLA APTS,1,0,0,1,1,N,None,62.90,73.20%,100.00%,
CA3301380,SAINT ANTHONY TRAILER PARK,1,0,0,1,1,N,None,72.77,92.10%,0.00%,
CA1400036,KEELER COMMUNITY SERVICE DISTRICT,1,0,0,1,1,N,None,61.86,70.20%,0.00%,
CA5000297,BUEHNER HOUSES,1,0,0,1,1,N,None,59.41,64.00%,100.00%,
CA3901213,SUNNY ROAD WATER SYSTEM,1,0,0,1,1,N,None,54.91,50.70%,100.00%,
CA3400130,THE COURTLAND GROUP,1,0,0,1,1,N,None,59.54,64.40%,100.00%,
CA0400067,FEATHER RIVER SCHOOL,1,0,0,1,1,N,None,61.35,69.10%,0.00%,
CA0400073,NORD COUNTRY SCHOOL,2,0,0,2,1,N,None,70.33,88.40%,100.00%,
CA1510036,INYOKERN CSD,2,0,0,2,1,N,None,48.17,31.70%,100.00%,
CA5510851,CDCR - SIERRA CONSERVATION CENTER,0,1,0,1,1,N,None,67.69,83.00%,0.00%,
CA3610850,CALIFORNIA INSTITUTION FOR MEN,5,0,0,5,1,N,None,56.33,55.00%,0.00%,
CA5800824,COUNTRY VILLAGE MOBILE HOME PARK,1,0,0,1,1,N,None,73.07,92.90%,0.00%,
CA1500314,DEL ORO WC - COUNTRY ESTATES DIST,1,0,0,1,1,N,None,46.61,27.90%,100.00%,
CA2701036,APPLE AVE WS #03,1,0,0,1,1,N,None,70.97,89.50%,0.00%,
CA5400769,FOOTHILL APARTMENTS,1,0,0,1,1,N,None,65.93,79.30%,100.00%,
CA1503226,QVWD-WEST & EAST COMBINED WATER SYSTEM,1,0,0,1,1,N,None,60.01,65.80%,0.00%,
CA5100142,NUESTRO SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA3901325,RIPON CHRISTIAN SCHOOLS,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA2000600,HOWARD ELEMENTARY SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA3400248,FRANKLIN ELEMENTARY SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA2700552,ECHO VALLEY SCHOOL WS,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5400713,OAK VALLEY SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5100138,BROWNS ELEMENTARY SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA1300556,MULBERRY UNION SCHOOL,0,0,1,1,1,Y,1,54.37,49.60%,0.00%,
CA1000213,HARRIS FARMS/HORSE BARN,0,1,0,1,1,N,None,71.46,90.00%,100.00%,
CA1009028,HARRIS FARMS SOUTH #101-144,0,1,0,1,1,N,None,79.53,97.30%,100.00%,
CA1900975,CALI LAKE RV RESORT,1,0,0,1,1,N,None,83.33,98.20%,0.00%,
CA2700579,ELKHORN RD WS #04,1,0,0,1,1,N,None,75.77,95.30%,100.00%,
CA1400006,PINE CREEK VILLAGE,3,0,0,3,1,N,None,52.98,45.50%,0.00%,
CA1502164,LLANAS CAMP FOUR WATER SYSTEM,1,0,0,1,1,N,None,70.61,88.80%,100.00%,
CA2400167,BALLICO CSD,1,0,0,1,1,N,None,57.92,60.10%,100.00%,
CA4300996,VALLEY VIEW RANCHES,1,0,0,1,1,N,None,52.47,43.90%,100.00%,
CA2000589,MAMMOTH POOL MOBILE HOME PARK,1,0,0,1,1,N,None,95.89,99.80%,0.00%,
CA5403144,ALI MUTUAL WATER CO,1,0,0,1,1,N,None,70.51,88.70%,100.00%,
CA2400134,BUHACH PRESCHOOL (KINDERCARE),1,0,0,1,1,N,None,69.12,86.20%,100.00%,
CA2210907,MUSD - SIERRA FOOTHILL CHARTER SCHOOL,0,0,0,0,0,N,None,68.44,85.10%,0.00%,
CA4700582,GAZELLE SCHOOL,1,0,0,1,1,N,None,67.92,83.80%,0.00%,
CA3400135,KORTHS PIRATES LAIR,1,0,0,1,1,N,None,50.67,38.80%,100.00%,
CA2701355,PRINCES CAMP RESORT WS,1,0,0,1,1,N,None,72.13,90.90%,0.00%,
CA2400079,MCSWAIN ELEMENTARY SCHOOL,2,0,0,2,1,N,None,58.45,61.50%,100.00%,
CA5000255,MOUNTAIN VIEW ELEMENTARY SCHOOL,2,0,0,2,1,N,None,56.71,56.50%,100.00%,
CA1200778,BRIDGEVILLE ELEM. SCHOOL,1,0,0,1,1,N,None,77.42,96.40%,0.00%,
CA1500409,BROCK MUTUAL WATER COMPANY,2,0,0,2,1,N,None,57.53,58.80%,100.00%,
CA1900542,"LOS ANGELES, CITY OF - POWER PLANT #2",0,1,0,1,1,N,None,68.66,85.40%,0.00%,
CA1900555,"LOS ANGELES, CITY OF - POWER PLANT #1",0,1,0,1,1,N,None,65.85,79.00%,0.00%,
CA1502232,ROSAMOND MOBILEHOME PARK,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA4300630,FOOTHILL MUTUAL WATER COMPANY,1,0,0,1,1,N,None,58.17,60.80%,100.00%,
CA1510023,LAKE OF THE WOODS MWC,5,0,0,5,1,N,None,71.79,90.40%,0.00%,
CA2010012,CAL AM - RAYMOND,5,0,0,5,1,N,None,61.00,68.20%,0.00%,
CA2701959,TIERRA VISTA MWC,1,0,0,1,1,N,None,61.92,70.40%,0.00%,
CA1500436,HUNGRY GULCH MWC,3,0,0,3,1,N,None,59.75,65.10%,0.00%,
CA5000579,FOSTER FARMS #5,2,0,0,2,1,N,None,62.26,71.50%,100.00%,
CA2400172,JOHN LATORACCA CORRECTIONAL FACILITY,2,0,0,2,1,N,None,50.25,37.40%,100.00%,
CA4500028,"SHASTA CSA - CRAGVIEW, #23",0,1,0,1,1,N,None,52.83,45.10%,0.00%,
CA1500493,"EL ADOBE POA, INC.",2,0,0,2,1,N,None,58.03,60.30%,100.00%,
CA2010007,CAL AM - OAKHURST,20,0,0,20,1,N,None,75.79,95.30%,0.00%,
CA2701670,LANGLEY/VALLE PACIFICO WS,1,0,0,1,1,N,None,48.47,32.30%,100.00%,
CA0707589,BELLA VISTA WATER SYS,1,0,0,1,1,N,None,73.20,93.10%,0.00%,
CA5000067,TULLY MOBILE ESTATES,1,0,0,1,1,N,None,60.95,68.10%,100.00%,
CA1500584,GOOSELAKE WATER COMPANY,1,0,1,2,2,Y,1,36.29,8.90%,100.00%,
CA1200546,CASTERLIN SCHOOL,1,0,0,1,1,N,None,84.95,98.90%,0.00%,
CA3900983,CHERRY LANE TRAILER PARK,1,0,0,1,1,N,None,63.83,75.20%,100.00%,
CA1500555,MUSTANG MUTUAL WATER SYSTEM,1,0,0,1,1,N,None,68.09,84.30%,100.00%,
CA5200534,PASKENTA COMM. SERVICES DIST.,0,1,0,1,1,N,None,72.93,92.60%,0.00%,
CA3701995,WILLOWSIDE TERRACE WATER ASSOCIATION,2,0,0,2,1,N,None,49.85,36.50%,0.00%,
CA5400805,SOULTS MUTUAL WATER CO,0,0,1,1,1,Y,1,64.64,77.00%,100.00%,
CA2000592,TWO TWENTY FOUR MOBILE HOME PK,1,0,0,1,1,N,None,69.88,87.40%,0.00%,
CA1900961,WINTERHAVEN MOBILE ESTATES,1,0,0,1,1,N,None,70.63,88.90%,0.00%,
CA1500461,FOUNTAIN TRAILER PARK WATER,1,0,0,1,1,N,None,69.33,86.50%,0.00%,
CA5400670,TRIPLE R MUTUAL WATER CO,10,0,0,10,1,N,None,47.89,30.80%,0.00%,
CA5410017,LONDON COMMUNITY SERV DIST,4,0,0,4,1,N,None,69.84,87.30%,100.00%,
CA5100107,SUTTER CO. WWD#1 (ROBBINS),2,0,0,2,1,N,None,65.17,77.80%,0.00%,
CA5800006,YES CHARTER ACADEMY,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA4100583,BIANCHI FLOWERS INC,1,0,0,1,1,N,None,62.09,71.00%,0.00%,
CA2300755,POTTER VALLEY SCHOOL DISTRICT,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA4000774,PLEASANT VALLEY ELEMENTARY,2,0,0,2,1,N,None,DWR Not Assessed,DWR Not Assessed,100.00%,
CA2410002,CITY OF DOS PALOS,0,1,0,1,1,N,None,51.81,41.80%,100.00%,
CA4400621,RIVER GROVE MUTUAL WATER ASSN,0,1,0,1,1,N,None,52.04,42.60%,0.00%,
CA3500923,FAIRVIEW ROAD WATER SYSTEM,1,0,0,1,1,N,None,59.52,64.40%,0.00%,
CA5800572,FAIRWAY DOWNS MUTUAL WATER CO,1,0,0,1,1,N,None,64.30,76.30%,100.00%,
CA1009222,TERRA LINDA FARMS,0,1,0,1,1,N,None,67.57,82.70%,100.00%,
CA1009027,HARRIS FARMS HEADQUARTERS,0,1,0,1,1,N,None,63.70,75.00%,100.00%,
CA1009039,PAPPAS & CO (MENDOTA),0,1,0,1,1,N,None,67.72,83.10%,100.00%,
CA1700536,SUNRISE SHORE MUTUAL WATER COMPANY,1,0,0,1,1,N,None,73.55,93.60%,0.00%,
CA2400084,EVERGREEN MOBILE HOME PARK,1,0,0,1,1,N,None,61.17,68.70%,100.00%,
CA5403043,YETTEM WATER SYSTEM,2,0,0,2,1,N,None,41.69,18.30%,100.00%,
CA1800573,RICHMOND ELEMENTARY SCHOOL,1,0,0,1,1,N,None,57.55,59.00%,0.00%,
CA4900714,LIBERTY SCHOOL,1,0,0,1,1,N,None,59.49,64.20%,0.00%,
CA4900716,CINNABAR ELEMENTARY SCHOOL,1,0,0,1,1,N,None,62.23,71.40%,0.00%,
CA3601015,IRONWOOD CAMP,2,0,0,2,1,N,None,53.06,45.90%,0.00%,
CA3600504,KNOLL ENTERPRISES,3,0,0,3,1,N,None,58.71,62.20%,0.00%,
CA1900785,MITCHELL'S AVENUE E MOBILE HOME PARK,1,0,0,1,1,N,None,56.75,56.60%,0.00%,
CA3400138,LOCKE WATER WORKS CO [SWS],1,0,0,1,1,N,None,50.80,39.10%,0.00%,
CA1500426,ROSE VILLA APARTMENTS,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA3900523,MORADA MANOR WATER SYSTEM,1,0,0,1,1,N,None,67.10,81.70%,100.00%,
CA1502569,FIRST MUTUAL WATER SYSTEM,1,0,0,1,1,N,None,53.50,47.20%,0.00%,
CA2702409,EL CAMINO WC INC,1,0,0,1,1,N,None,55.16,51.60%,0.00%,
CA2000828,SHADY OAKS MOBILE HOME PARK LLC,2,0,0,2,1,N,None,73.27,93.20%,0.00%,
CA1100254,VOYLES TRAILER PARK,1,0,0,1,1,N,None,72.90,92.40%,100.00%,
CA2801020,ESPINOZA WATER SYSTEM,1,0,0,1,1,N,None,58.45,61.50%,100.00%,
CA4100509,COUNTY SERVICE AREA 7,0,1,0,1,1,N,None,55.38,52.30%,0.00%,
CA5010008,"HUGHSON, CITY OF",3,0,0,3,1,N,None,39.02,13.00%,100.00%,
CA3400229,RIO COSUMNES CORRECTIONAL CENTER [SWS],4,0,0,4,1,N,None,48.00,31.20%,100.00%,
CA4200842,SAINT MARIE MOBILE HOME PARK,1,0,0,1,1,N,None,70.10,88.10%,0.00%,
CA2610003,BRIDGEPORT PUD,2,0,0,2,1,N,None,41.37,17.60%,0.00%,
