REGULATING_AGENCY,water system id,water system name,Violation ID,Violation Type,Violation Name,Analyte Code,Analyte Name,Determination Date,Begin Date,End Date,Enforcement Action ID,Enforcement Action,Enforcement Action Code,ENFORCEMENT ACTION STATUS DATE
LPA57 - MONTEREY COUNTY,CA2700713,ROLLING HILLS RANCHO WA,9900007,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),8/12/21 0:00,2021-08-12,2021-10-15,,,,
LPA72 - SANTA BARBARA COUNTY,CA4200851,ROLLING HILLS MUTUAL WATER COMPANY,9900006,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),8/31/21 0:00,2021-08-31,2022-09-07,9900097,ST COMPLIANCE ACHIEVED,SOX,9/7/22 0:00
LPA61 - PLACER COUNTY,CA3100019,NORTH EDEN VALLEY,1600008,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),1/18/23 0:00,2022-01-01,,,,,
LPA63 - RIVERSIDE COUNTY,CA3301512,PINYON PINES COUNTY WATER DIST,700006,WW,VIOLATION OF A WATERWORKS STANDARD,C295,CCR §64602 – WATER OUTAGE (OTHER),1/23/23 0:00,2022-03-01,2022-04-30,703245,ST AO (W/O PENALTY) ISSUED,SFL,1/23/23 0:00
LPA63 - RIVERSIDE COUNTY,CA3301491,ALPINE VILLAGE,9700033,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),2/10/20 0:00,2020-02-10,,,,,
DISTRICT 05 - MONTEREY,CA3500823,BEST ROAD MWC,805036,WW,VIOLATION OF A WATERWORKS STANDARD,C295,CCR §64602 – WATER OUTAGE (OTHER),5/31/22 0:00,2022-05-31,2022-08-04,905010,ST AO (W/O PENALTY) ISSUED,SFL,4/13/18 0:00
LPA63 - RIVERSIDE COUNTY,CA3301529,RAMONA WATER COMPANY,9900045,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),1/23/23 0:00,1990-01-01,,,,,
DISTRICT 02 - LASSEN,CA4500006,"SHASTA CSA - SUGARLOAF, #2",1200009,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),7/26/21 0:00,2021-07-26,2022-01-14,1200016,ST COMPLIANCE ACHIEVED,SOX,1/14/22 0:00
DISTRICT 05 - MONTEREY,CA4410001,BIG BASIN WATER COMPANY,505082,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),1/13/23 0:00,2023-01-13,,,,,
LPA75 - SHASTA COUNTY,CA4500101,LAKE SHASTA PINES RV PARK & CAMPGROUND,1500007,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),7/26/21 0:00,2021-07-01,2021-12-30,1500013,ST COMPLIANCE ACHIEVED,SOX,12/30/21 0:00
DISTRICT 01 - KLAMATH,CA4700513,HORNBROOK C.S.D.,9701014,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),7/16/21 0:00,2021-07-16,2021-07-30,,,,
DISTRICT 18 - SONOMA,CA4900568,VALLEY FORD WATER ASSOCIATION,9918052,WW,VIOLATION OF A WATERWORKS STANDARD,C295,CCR §64602 – WATER OUTAGE (OTHER),1/17/23 0:00,2022-11-15,2023-01-08,,,,
DISTRICT 24 - TULARE,CA5400550,SEVILLE WATER COMPANY,1300025,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),8/15/22 0:00,2022-08-15,,9900387,DROUGHT ORDERS,DRT,8/15/22 0:00
DISTRICT 24 - TULARE,CA5400567,TOOLEVILLE MUTUAL NON PROFIT WATER ASSN,9700008,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),7/7/21 0:00,2021-07-07,,9700391,DROUGHT ORDERS,DRT,7/7/21 0:00
DISTRICT 24 - TULARE,CA5400641,TEVISTON COMMUNITY SERVICES DISTRICT,800036,WW,VIOLATION OF A WATERWORKS STANDARD,C295,CCR §64602 – WATER OUTAGE (OTHER),6/30/21 0:00,2021-06-30,,9800405,DROUGHT ORDERS,DRT,6/30/21 0:00
DISTRICT 12 - VISALIA,CA5410025,WOODVILLE PUBLIC UTILITY DIST,812008,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),8/13/21 0:00,2021-08-13,,9312008,DROUGHT ORDERS,DRT,8/13/21 0:00
,CA4901080,SPEEDWAY SONOMA LLC,9503007,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),12/21/22 0:00,2022-12-21,,,,,
