PWSID,Water System Name,Total Number of Water Sources ,Absence of Interties,Source Capacity Violations Count,Service Connection Moratoriums Count,Division of Financial Assistance - Interim Solution Data Spreadsheet,Division of Drinking Water - Drought Report,"SDWIS -
Hauled Water Data",Risk Score,"Percent Rank
(rank of a score as a percentage)",Percentage of sources within a COD Basin
CA0610001,ARBUCKLE PUBLIC UTILITY DISTRICT,4,Y,0,0,N,N,N,50.57,38.70%,0.00%
CA0610002,CITY OF COLUSA,5,Y,0,0,N,N,N,36.92,9.80%,0.00%
CA0610003,MAXWELL PUBLIC UTILITY DISTRICT,2,Y,0,0,N,N,N,46.02,26.70%,0.00%
CA0610004,CITY OF WILLIAMS,2,Y,0,0,N,N,N,38.20,11.60%,0.00%
CA0706004,OAKLEY MUTUAL WATER COMPANY,2,Y,0,0,N,N,N,41.22,17.40%,0.00%
CA0706005,FARRAR PARK PROPERTY OWNERS,1,Y,0,0,N,N,N,67.80,83.50%,0.00%
CA0707501,ANGLER S RANCH #3,1,Y,0,0,N,N,N,56.98,57.50%,0.00%
CA0707507,WILLOW PARK MARINA,2,Y,0,0,N,N,N,37.98,11.30%,0.00%
CA0707517,COLONIA SANTA MARIA,1,Y,0,0,N,N,N,70.90,89.50%,0.00%
CA0707519,DUTCH SLOUGH WATER WORKS,1,Y,0,0,N,N,N,54.57,50.30%,0.00%
CA0707523,FLAMINGO MOBILE MANOR,1,Y,0,0,N,N,N,68.75,85.80%,0.00%
CA0707545,ORWOOD RESORT,2,Y,0,0,N,N,N,57.67,59.30%,0.00%
CA0707547,KNIGHTSEN COMMUNITY WATER SYSTEM,1,Y,0,0,N,N,N,46.82,28.30%,0.00%
CA0707553,RIVERVIEW MOBILE HOMES,1,Y,0,0,N,N,N,60.58,67.60%,0.00%
CA0707556,SANDMOUND MUTUAL,2,Y,0,0,N,N,N,48.16,31.60%,0.00%
CA0707569,ANGLERS SUBDIVISION 4,3,Y,0,0,N,N,N,48.60,32.60%,0.00%
CA0707572,BETHEL ISLAND MUTUAL WATER CO,1,Y,0,0,N,N,N,54.23,49.30%,0.00%
CA0707573,DELTA MUTUAL WATER COMPANY,2,Y,0,0,N,N,N,56.83,57.10%,0.00%
CA0707574,SANTIAGO ISLAND VILLAGE,1,Y,0,0,N,N,N,68.44,85.20%,0.00%
CA0707575,FRANKS MARINA,1,Y,0,0,N,N,N,55.36,52.30%,0.00%
CA0707576,PLEASANTIMES MUTUAL WATER CO,3,Y,0,0,N,N,N,43.80,22.20%,0.00%
CA0707577,RIVERVIEW WATER ASSOCIATION,2,Y,0,0,N,N,N,39.45,13.90%,0.00%
CA0707585,MORAGA HEIGHTS MUTUAL WATER,1,Y,0,0,N,N,N,72.67,91.90%,0.00%
CA0707588,BIG OAK MOBILE HOME PARK WATER,2,Y,0,0,N,N,N,65.29,78.10%,0.00%
CA0707589,BELLA VISTA WATER SYS,1,Y,0,0,N,N,N,73.20,93.10%,0.00%
CA0707594,CASA MEDANOS WATER SYSTEM,1,Y,0,0,N,N,N,69.72,87.20%,0.00%
CA0707597,SANDY POINT MOBILE HOME PARK,1,Y,0,0,N,N,N,65.91,79.20%,0.00%
CA0707598,CAMINO MOBILEHOME,1,Y,0,0,N,N,N,76.93,96.10%,0.00%
CA0707601,RUSSOS MOBILE PARK,1,Y,0,0,N,N,N,71.13,89.70%,0.00%
CA0707603,CLAYTON PALMS WATER,1,N,0,0,N,N,N,48.42,32.20%,No Active Groundwater Wells
CA0707608,MARINA MOBILE MANOR,1,Y,0,0,N,N,N,71.01,89.60%,0.00%
CA0707613,WILLOW MOBILE HOME PARK,1,Y,0,0,N,N,N,63.36,74.20%,0.00%
CA0707615,DOUBLETREE RANCH WATER SYSTEM,2,Y,0,0,N,N,N,48.90,33.50%,0.00%
CA0707623,WILCOX STATION RANCH,1,Y,0,0,N,N,N,81.79,97.90%,0.00%
CA0710002,GOLDEN STATE WATER COMPANY - BAY POINT,6,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA0710004,BRENTWOOD,10,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA0710006,CITY OF MARTINEZ,1,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA0710007,DIABLO WATER DISTRICT,5,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA0710008,CITY OF PITTSBURG,3,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA0710009,TOWN OF DISCOVERY BAY,6,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA0800526,REDWOOD PARK C.S.D.,3,Y,0,0,N,N,N,40.20,15.50%,0.00%
CA0800532,BIG ROCK C.S.D.,1,Y,0,0,N,N,N,64.03,75.60%,0.00%
CA0800548,KLAMATH C.S.D.,3,Y,0,0,N,N,N,51.65,41.40%,0.00%
CA0800552,NORTHCREST TRAILER CITY,2,Y,0,0,N,N,N,54.67,50.50%,0.00%
CA0800555,GASQUET C.S.D.,1,Y,0,0,N,N,N,52.64,44.40%,No Active Groundwater Wells
CA0800556,HRC C.S.D.,1,Y,0,0,N,N,N,67.88,83.80%,0.00%
CA0800557,HUNTER VALLEY CSD,1,Y,0,0,N,N,N,57.89,59.90%,0.00%
CA0800603,BUTTE COURT MOBILE HOME PARK,1,Y,0,0,N,N,N,65.92,79.30%,0.00%
CA0800605,WEST PARK PROPERTIES,1,Y,0,0,N,N,N,67.49,82.60%,0.00%
CA0800700,LAS PALMAS MOBILE HOME PARK,2,Y,0,0,N,N,N,42.23,19.20%,0.00%
CA0800800,PINE GROVE TRAILER PARK,1,Y,0,0,N,N,N,67.75,83.30%,0.00%
CA0800825,JED SMITH HOMEOWNERS ASSN.,3,Y,0,0,N,N,N,54.22,49.30%,0.00%
CA0800861,RESERVATION RANCH,1,Y,0,0,N,N,N,66.63,80.70%,0.00%
CA0810001,CITY OF CRESCENT CITY,1,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA0810002,SMITH RIVER C.S.D.,4,Y,0,0,N,N,N,39.69,14.60%,0.00%
CA0810003,BERTSCH OCEAN VIEW CSD,1,N,0,0,N,N,N,37.31,10.50%,0.00%
CA0900102,GOLD BEACH PARK,1,Y,0,0,N,N,N,78.09,96.80%,0.00%
CA0900112,CANDLELIGHT VILLAGE MUTUAL WATER CO.,3,Y,0,0,N,N,N,59.13,63.40%,0.00%
CA0900300,KYBURZ MUTUAL WATER COMPANY,2,Y,0,1,N,N,N,63.13,73.60%,0.00%
CA0900308,QUINTETTE SERVICE CORP WATER,1,Y,0,0,N,N,N,62.55,72.60%,0.00%
CA0900404,"OAKLANE MOBILE VILLAGE, LLC.",1,Y,0,0,N,N,N,72.51,91.70%,0.00%
CA0900422,CRYSTAL CAVES MHP,1,Y,0,0,N,N,N,62.79,73.00%,0.00%
CA0901217,BEAR STATE WATER WORKS,3,Y,0,0,N,N,N,53.91,48.50%,0.00%
CA0910003,"PLACERVILLE, CITY OF - MAIN",10,Excluded from the Assessment,0,0,N,N,N,35.68,8.50%,No Active Groundwater Wells
CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,1,Y,0,0,N,N,N,55.39,52.60%,No Active Groundwater Wells
CA0910007,LUKINS BROTHERS WATER COMPANY,5,N,0,0,N,N,N,38.29,11.80%,0.00%
CA0910012,TAHOE CITY PUD - RUBICON,3,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA0910013,GEORGETOWN DIVIDE PUD,2,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA0910015,TAHOE KEYS WATER COMPANY,5,N,0,0,N,N,N,22.34,2.80%,0.00%
CA0910017,EL DORADO ID - STRAWBERRY,1,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA0910018,EL DORADO ID - OUTINGDALE,1,Y,0,0,N,Y,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA0910019,LAKESIDE PARK ASSOCIATION,3,N,0,0,N,N,N,22.43,2.80%,0.00%
CA1000004,BELMONT WATER CORPORATION,2,N,0,0,N,N,N,25.72,3.80%,50.00%
CA1000005,BIG CREEK COMMUNITY SERV DIST,1,N,0,0,N,N,N,67.40,82.30%,No Active Groundwater Wells
CA1000018,EASTON ESTATES WATER COMPANY,2,Y,0,0,N,N,N,47.35,29.80%,66.67%
CA1000019,FCSA #30/EL PORVENIR,1,Y,0,0,Y,N,N,66.03,79.70%,No Active Groundwater Wells
CA1000021,FCSA #05/WILDWOOD ISLAND,2,Y,0,0,N,N,N,56.57,56.10%,80.00%
CA1000023,FCSA #14/BELMONT MANOR,1,Y,0,0,N,N,N,68.31,84.90%,50.00%
CA1000039,FCSA #10/CUMORAH KNOLLS,2,Y,0,0,N,N,N,38.01,11.40%,66.67%
CA1000040,FCWWD #37/MILE HIGH,2,Y,0,0,N,N,N,54.38,49.80%,0.00%
CA1000041,FCWWD #38/SKY HARBOUR,1,Y,0,0,N,N,N,62.13,71.30%,0.00%
CA1000042,FCWWD #40 / SHAVER SPRINGS,3,Y,0,0,N,N,N,66.59,80.60%,25.00%
CA1000053,LANARE COMMUNITY SERVICES DIST,3,Y,0,0,N,N,N,60.24,66.50%,75.00%
CA1000054,LAS DELTAS MUTUAL WATER SYSTEM,1,N,0,0,N,N,N,38.15,11.50%,50.00%
CA1000056,MEADOW LAKES CLUB,3,Y,0,0,N,N,N,59.43,64.10%,0.00%
CA1000057,DEL ORO WATER CO - METROPOLITAN DISTRICT,1,Y,0,0,N,N,N,48.88,33.40%,50.00%
CA1000063,NEW AUBERRY WATER ASSOCIATION,2,Y,0,0,N,N,N,53.92,48.50%,0.00%
CA1000069,SHAVER LAKE HEIGHTS PROP ASSN,4,Y,0,0,N,N,N,62.34,71.90%,0.00%
CA1000075,TRACT 1199 WATER SYSTEM,1,Y,0,0,N,N,N,61.08,68.50%,50.00%
CA1000078,FCWWD #42/ALLUVIAL & FANCHER,3,Y,0,0,N,N,N,42.84,20.50%,75.00%
CA1000186,HELM SCHOOL,1,Y,0,0,N,N,N,75.64,95.20%,66.67%
CA1000199,FOWLER CARE CENTER,1,Y,0,0,N,N,N,58.45,61.70%,66.67%
CA1000200,RUBYS VALLEY CARE HOME,1,Y,0,0,N,N,N,74.17,94.30%,50.00%
CA1000213,HARRIS FARMS/HORSE BARN,1,Y,0,0,N,N,N,71.46,90.10%,No Active Groundwater Wells
CA1000229,GREEN ACRES MOBILE HOME ESTATE,1,Y,0,0,N,N,N,64.40,76.70%,66.67%
CA1000238,CAMDEN TRAILER PARK,1,Y,0,0,N,N,N,76.73,96.00%,66.67%
CA1000244,SHADY LAKES MOBILE HOME PARK,1,Y,0,0,N,N,N,68.69,85.70%,50.00%
CA1000247,SHERWOOD FOREST MHP,1,Y,0,0,N,N,N,71.11,89.70%,66.67%
CA1000257,MT ARARAT MOBILE HOME PARK,2,Y,0,0,N,N,N,59.88,65.60%,0.00%
CA1000259,NEW HORIZONS MOBILE/RV PARK,1,Y,0,0,N,N,N,66.02,79.60%,50.00%
CA1000260,SANDY CREEK VILLAGE MHP,2,Y,0,0,N,N,N,59.50,64.40%,0.00%
CA1000265,MARY LOU MOBILE HOME PARK,2,Y,0,0,N,N,N,59.85,65.50%,0.00%
CA1000267,KINGS CANYON MOBILE HOME PARK,3,Y,0,0,N,N,N,67.05,81.70%,0.00%
CA1000277,ELM COURT,1,Y,0,0,N,N,N,60.33,67.00%,66.67%
CA1000295,KINGS PARK APARTMENTS,1,Y,0,0,N,N,N,74.10,94.20%,33.33%
CA1000298,WOODWARD BLUFFS MHP,1,Y,0,0,N,N,N,66.88,81.10%,66.67%
CA1000299,THREE PALMS MOBILEHOME PARK,1,Y,0,0,Y,N,N,58.00,60.30%,66.67%
CA1000324,MANNING GARDENS CARE CENTER INC,1,Y,0,0,N,N,N,54.19,49.20%,33.33%
CA1000345,PANOCHE WATER DISTRICT,1,Y,0,0,N,N,N,54.01,48.80%,No Active Groundwater Wells
CA1000359,FCSA #32/CANTUA CREEK,1,Y,0,0,Y,N,N,64.17,76.00%,No Active Groundwater Wells
CA1000366,SUNNYSIDE CONVALESCENT HOSP,1,Y,0,0,N,N,N,58.36,61.40%,50.00%
CA1000369,ZONNEVELD DAIRY - CEDAR,1,Y,0,0,N,N,N,67.71,83.20%,66.67%
CA1000377,ST NICHOLAS RANCH & RETREAT,3,Y,0,0,N,N,N,56.84,57.20%,0.00%
CA1000378,SUNSET WEST COMMUNITY LLC,2,Y,0,0,N,N,N,53.71,48.00%,66.67%
CA1000405,PIEDRA PARK ASSOCIATION,1,Y,0,0,N,N,N,67.45,82.40%,66.67%
CA1000407,GEORGE COX WATER SYSTEM,#N/A,Y,0,0,N,N,N,63.31,73.90%,66.67%
CA1000426,RIVERBEND MOBILE HOME & RV PARK,2,Y,0,0,N,N,N,44.86,24.40%,75.00%
CA1000430,DYCORA TRANSITIONAL LIVING,1,Y,0,0,N,N,N,66.06,79.70%,66.67%
CA1000445,LINDA VISTA FARMS,#N/A,Y,0,0,N,N,N,92.27,99.80%,66.67%
CA1000471,FCSA #39 A&B,1,N,0,0,N,N,N,31.49,6.30%,50.00%
CA1000472,PG&E HELMS SUPPORT FACILITY,1,Y,0,0,N,N,N,78.64,97.00%,0.00%
CA1000484,FCSA #34/ MILLERTON NEW TOWN,2,Y,0,0,N,N,N,31.37,6.30%,0.00%
CA1000546,FCSA #49/ FIVE POINTS,1,Y,0,0,N,N,N,39.60,14.30%,No Active Groundwater Wells
CA1000550,FCSA #44D/MONTE VERDI,2,Y,0,0,N,N,N,38.52,12.00%,66.67%
CA1000551,FCSA #43/RAISIN CITY,1,Y,0,0,N,N,N,68.37,85.10%,50.00%
CA1000554,FCSA #10A/MANSIONETTE ESTATES,2,Y,0,0,N,N,N,44.08,23.00%,66.67%
CA1000555,FCSA #44C/RIVERVIEW ESTATES,2,Y,0,0,N,N,N,50.28,37.60%,66.67%
CA1000570,JUVENILE JUSTICE CAMPUS,2,Y,0,0,N,N,N,44.78,24.20%,66.67%
CA1000585,MURRIETA/HERNANDEZ FARMS,1,Y,0,0,N,N,N,76.16,95.60%,50.00%
CA1000627,ZONNEVELD DAIRY - CERINI,1,Y,0,0,N,N,N,67.95,84.10%,66.67%
CA1009020,FIVE POINTS RANCH,1,Y,0,0,N,N,N,71.28,89.80%,66.67%
CA1009023,BRITZ/COLUSA,1,Y,0,0,N,N,N,52.06,42.80%,No Active Groundwater Wells
CA1009027,HARRIS FARMS HEADQUARTERS,1,Y,0,0,N,N,N,63.70,75.00%,No Active Groundwater Wells
CA1009028,HARRIS FARMS SOUTH #101-144,1,Y,0,0,N,N,N,79.53,97.30%,No Active Groundwater Wells
CA1009039,PAPPAS & CO (MENDOTA),1,Y,0,0,N,N,N,67.72,83.20%,No Active Groundwater Wells
CA1009051,"CANTUA CREEK VINEYARDS, IV, LLC.",1,Y,0,0,N,N,N,69.98,87.90%,100.00%
CA1009078,HARRIS FEEDING COMPANY,1,Y,0,0,N,N,N,63.58,74.80%,No Active Groundwater Wells
CA1009111,SCE/BIG CREEK POWERHOUSE #1,1,Y,0,0,N,N,N,73.46,93.50%,No Active Groundwater Wells
CA1009120,RAU DAIRY,1,Y,0,0,N,N,N,74.91,94.80%,50.00%
CA1009147,FARMING D,1,Y,0,0,N,N,N,62.49,72.40%,No Active Groundwater Wells
CA1009179,BRITZ/FIVE POINT SYSTEM,1,Y,0,0,N,N,N,63.17,73.70%,No Active Groundwater Wells
CA1009214,WESTSIDE HARVESTING,1,Y,0,0,N,N,N,59.68,64.90%,No Active Groundwater Wells
CA1009222,TERRA LINDA FARMS,1,Y,0,0,N,N,N,67.57,82.80%,No Active Groundwater Wells
CA1009232,SUMNER PECK RANCH,1,Y,0,0,N,N,N,67.61,83.00%,No Active Groundwater Wells
CA1010001,BAKMAN WATER COMPANY,13,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,100.00%
