,CWSID,Not Expected,Expected,RegulatingAgency,WaterSystemName,Water Year,HUC8,ServiceConnections,Population,DSCI Dry Season Average,DSCI Wet Season Average,DSCI Dry Wet Delta,Total Number of Water Sources,Score_SCV,Score_SCM,Score_CriticallyOverdraftedGroundwaterBasin,Intertie,Wholesalers,Curtailment,HUC_Categories,Outcome,PWPhysicalAddressLat,PWPhysicalAddressLong
17,CA1900062,0.06735807905748831,0.9326419209425115,LPA49 - LA COUNTY,LOS ANGELES RESIDENTIAL COMMUNITY FOUNDA,2022,18070102,22.0,184,437.2009090909091,342.47900000000004,94.72190909090904,0.0,1.0,0.0,0,0.0,0.0,0,1,1,34.4786047,-118.463357
18,CA4610002,0.06782407587619291,0.9321759241238071,DISTRICT 02 - LASSEN,DOWNIEVILLE PUBLIC U.D.,2022,18020125,233.0,783,430.5718181818183,348.0703333333333,82.501484848485,1.0,0.0,0.0,0,0.0,0.0,1,2,1,39.5631516,-120.8256237
19,CA0300037,0.08001437562629077,0.9199856243737091,DISTRICT 10 - STOCKTON,JACKSON VALLEY IRRIGATION DISTRICT,2022,18040012,331.0,3553,452.47727272727263,372.1929999999999,80.28427272727271,2.0,0.0,0.0,0,0.0,0.0,1,2,1,38.3051021,-120.8941404
20,CA1210009,0.08518958686136238,0.9148104131386376,DISTRICT 01 - KLAMATH,HUMBOLDT C.S.D.,2022,18010102,7836.0,19485,330.8677272727273,291.40600000000006,39.46172727272722,11.0,0.0,0.0,0,1.0,0.0,0,3,0,40.752901,-124.1452634
21,CA4300573,0.08734453485698682,0.9126554651430132,DISTRICT 17 - SANTA CLARA,GREEN ACRES MUTUAL WATER,2022,18060002,18.0,53,390.09681818181804,342.6703333333332,47.42648484848485,2.0,1.0,0.0,0,0.0,0.0,0,1,1,37.1099715,-121.6839601
22,CA2700713,0.08974744372720442,0.9102525562727958,LPA57 - MONTEREY COUNTY,ROLLING HILLS RANCHO WA,2022,18060015,56.0,184,400.0,340.0,60.0,4.0,1.0,0.0,0,0.0,0.0,0,1,1,36.6777372,-121.6555013
23,CA4300716,0.09235496821484196,0.9076450317851582,DISTRICT 17 - SANTA CLARA,LUPIN LODGE,2022,18050003,30.0,300,401.9318181818182,341.82466666666664,60.10715151515154,2.0,1.0,0.0,0,0.0,0.0,0,1,1,37.1699866,-121.9800003
24,CA3500823,0.09575365539121782,0.9042463446087821,DISTRICT 05 - MONTEREY,BEST ROAD MWC,2022,18060002,48.0,133,390.09681818181804,342.6703333333332,47.42648484848485,2.0,0.0,0.0,0,0.0,0.0,0,1,1,36.8265529,-121.3467918
25,CA3600086,0.09612764376249656,0.9038723562375035,LPA66 - SAN BERNARDINO COUNTY,DAGGETT COMM SVCS DIST,2022,18090208,196.0,795,386.16,323.8466666666667,62.31333333333333,2.0,0.0,0.0,0,0.0,0.0,0,3,1,34.8654622,-116.8850785
26,CA1900903,0.09705458794730937,0.9029454120526907,LPA49 - LA COUNTY,SLEEPY VALLEY WATER COMPANY,2022,18070102,58.0,130,437.2009090909091,342.47900000000004,94.72190909090904,3.0,1.0,0.0,0,0.0,0.0,0,1,1,34.5101665,-118.3618352
27,CA1900100,0.10388309179164429,0.8961169082083557,LPA49 - LA COUNTY,METTLER VALLEY MUTUAL,2022,18090206,98.0,135,435.92681818181813,355.557,80.36981818181812,2.0,0.0,0.0,0,0.0,0.0,0,3,1,34.7891927,-118.607596
28,CA2700771,0.10429634784109384,0.8957036521589062,LPA57 - MONTEREY COUNTY,SPRINGFIELD WATER COMPANY,2022,18060015,34.0,200,400.0,340.0,60.0,1.0,0.0,0.0,1,0.0,0.0,0,1,1,36.8390905,-121.6676847
29,CA3500527,0.1065057730552764,0.8934942269447236,DISTRICT 05 - MONTEREY,VALENZUELA WATER SYSTEM,2022,18060002,17.0,55,390.09681818181804,342.6703333333332,47.42648484848485,1.0,0.0,0.0,0,0.0,0.0,0,1,1,36.8360649,-121.4194347
30,CA1900942,0.10760970152801184,0.8923902984719881,LPA49 - LA COUNTY,ALPINE SPRINGS MOBILE HOME PARK,2022,18090206,53.0,175,435.92681818181813,355.557,80.36981818181812,1.0,1.0,0.0,0,0.0,0.0,0,3,1,34.5393141,-118.1065299
31,CA2700772,0.11165945922064649,0.8883405407793534,LPA57 - MONTEREY COUNTY,STRUVE RD WS #02,2022,18060015,105.0,166,400.0,340.0,60.0,1.0,0.0,0.0,1,0.0,0.0,0,1,1,36.8331987,-121.7741497
32,CA4410001,0.11271067663152638,0.8872893233684737,DISTRICT 05 - MONTEREY,BIG BASIN WATER COMPANY,2022,18060015,482.0,1120,400.0,340.0,60.0,1.0,1.0,0.0,0,0.0,0.0,0,1,1,37.140014,-122.1666128
33,CA1900520,0.11581098221637769,0.8841890177836222,LPA49 - LA COUNTY,THE VILLAGE MOBILE HOME PARK,2022,18090206,34.0,50,435.92681818181813,355.557,80.36981818181812,1.0,0.0,0.0,0,0.0,0.0,0,3,1,34.7346116,-118.1349548
34,CA4400571,0.1381505086128862,0.8618494913871136,DISTRICT 05 - MONTEREY,DAVENPORT COUNTY SANITATION,2022,18050006,108.0,350,400.5718181818182,340.07399999999996,60.49781818181822,2.0,0.0,0.0,0,0.0,0.0,0,1,1,37.0191318,-122.2053987
35,CA1810002,0.1661474431087356,0.8338525568912646,DISTRICT 02 - LASSEN,WESTWOOD C.S.D.,2022,18020121,949.0,1662,441.70772727272725,332.6276666666666,109.08006060606067,1.0,0.0,0.0,0,0.0,0.0,1,2,1,40.3036222,-121.0010179
36,CA3910022,0.1684805751080628,0.8315194248919371,DISTRICT 10 - STOCKTON,LITTLE POTATO SLOUGH MUTUAL,2022,18040012,202.0,950,452.47727272727263,372.1929999999999,80.28427272727271,1.0,0.0,0.0,0,0.0,1.0,1,2,1,38.1126998,-121.4976095
37,CA1800512,0.16899009298671858,0.8310099070132814,DISTRICT 02 - LASSEN,CLEAR CREEK CSD-WESTWOOD,2022,18020121,166.0,400,441.70772727272725,332.6276666666666,109.08006060606067,1.0,0.0,0.0,0,0.0,0.0,1,2,1,40.3059999,-121.0057931
38,CA1009111,0.1797884152163727,0.8202115847836272,DISTRICT 23 - FRESNO,SCE/BIG CREEK POWERHOUSE #1,2022,18040006,76.0,126,474.41772727272706,398.43333333333334,75.98439393939373,1.0,0.0,0.0,0,0.0,0.0,1,2,1,37.2037571,-119.2454706
39,CA2000527,0.19294129624316467,0.8070587037568354,LPA50 - MADERA COUNTY,YOSEMITE FORKS EST MUTUAL,2022,18040007,99.0,110,446.6604545454545,407.78499999999997,38.875454545454545,4.0,0.0,0.0,0,0.0,0.0,1,2,1,37.3279997,-119.6493154
40,CA4710009,0.19938123386839052,0.8006187661316098,DISTRICT 01 - KLAMATH,"WEED, CITY OF",2022,18010207,1111.0,2963,410.7677272727273,366.2176666666667,44.55006060606064,5.0,0.0,0.0,0,0.0,0.0,1,3,1,41.4275063,-122.3846492
41,CA2910004,0.2005624822334922,0.7994375177665078,DISTRICT 09 - SACRAMENTO,"NEVADA ID - E. GEORGE, BANNER MOUNTAIN",2022,18020126,6096.0,17233,465.2959090909091,370.44466666666654,94.85124242424257,3.0,0.0,0.0,0,1.0,0.0,1,2,1,39.2383315,-121.0089827
42,CA5410050,0.20203139386010965,0.7979686061398904,DISTRICT 12 - VISALIA,ALPAUGH COMMUNITY SERVICES DISTRICT,2022,18030012,394.0,1026,459.70363636363635,403.8476666666666,55.85596969696974,2.0,0.0,0.0,1,0.0,0.0,0,2,1,35.8884584,-119.4870456
43,CA5410025,0.21153283504286208,0.788467164957138,DISTRICT 12 - VISALIA,WOODVILLE PUBLIC UTILITY DIST,2022,18030006,467.0,1673,467.75181818181807,406.6666666666667,61.08515151515138,2.0,1.0,0.0,1,0.0,0.0,0,2,1,36.0948184,-119.1986161
44,CA5400550,0.2124146427085172,0.7875853572914827,DISTRICT 24 - TULARE,SEVILLE WATER COMPANY,2022,18030007,90.0,691,464.240909090909,406.666,57.57490909090899,2.0,1.0,0.0,1,0.0,0.0,0,2,1,36.33,-119.29
45,CA1610009,0.21409476660880356,0.7859052333911963,DISTRICT 12 - VISALIA,KETTLEMAN CITY CSD,2022,18030012,304.0,1450,459.70363636363635,403.8476666666666,55.85596969696974,2.0,0.0,0.0,1,0.0,0.0,0,2,1,36.0080309,-119.9668039
46,CA5400567,0.22048853997741671,0.7795114600225832,DISTRICT 24 - TULARE,TOOLEVILLE MUTUAL NON PROFIT WATER ASSN,2022,18030006,77.0,340,467.75181818181807,406.6666666666667,61.08515151515138,2.0,1.0,0.0,1,0.0,0.0,0,2,1,36.2862886,-119.1155063
47,CA5400666,0.2265255676596911,0.773474432340309,DISTRICT 12 - VISALIA,DEL ORO GRANDVIEW GARDENS DISTRICT,2022,18030006,98.0,327,467.75181818181807,406.6666666666667,61.08515151515138,1.0,0.0,0.0,1,0.0,0.0,0,2,1,36.06523,-119.0167679
48,CA5400682,0.23125459961226272,0.7687454003877374,DISTRICT 12 - VISALIA,PLAINVIEW MWC - CENTRAL WATER,2022,18030006,42.0,138,467.75181818181807,406.6666666666667,61.08515151515138,1.0,0.0,0.0,1,0.0,0.0,0,2,1,36.143974,-119.132553
49,CA5403144,0.235989837903921,0.7640101620960791,DISTRICT 24 - TULARE,ALI MUTUAL WATER CO,2022,18030006,13.0,39,467.75181818181807,406.6666666666667,61.08515151515138,1.0,0.0,0.0,1,0.0,0.0,0,2,1,36.2113972,-119.2600213
50,CA0910006,0.23939683242349924,0.7606031675765008,DISTRICT 09 - SACRAMENTO,GRIZZLY FLATS COMMUNITY SERVIC,2022,18040013,624.0,1300,462.7427272727273,374.7029999999999,88.03972727272736,1.0,1.0,0.0,0,0.0,0.0,0,2,1,38.6448964,-120.5190263
51,CA5400964,0.24290192583912565,0.7570980741608745,DISTRICT 24 - TULARE,SIERRA VISTA ASSN,2022,18030005,13.0,44,477.0686363636363,406.6666666666667,70.40196969696962,1.0,0.0,0.0,1,0.0,0.0,0,2,1,35.7688425,-119.2470536
52,CA3600114,0.24415390392706124,0.7558460960729388,LPA66 - SAN BERNARDINO COUNTY,CSA 70 W-3 HACIENDA,2022,18100201,165.0,695,322.4372727272726,252.52333333333328,69.91393939393933,2.0,0.0,0.0,0,0.0,0.0,0,3,1,34.0762468,-116.552461
53,CA5400735,0.2444428782920702,0.7555571217079294,DISTRICT 24 - TULARE,RODRIGUEZ LABOR CAMP,2022,18030005,35.0,110,477.0686363636363,406.6666666666667,70.40196969696962,1.0,0.0,0.0,1,0.0,0.0,0,2,1,35.8081449,-119.1422727
54,CA5400616,0.24618395726606165,0.7538160427339382,DISTRICT 24 - TULARE,LEMON COVE WATER CO,2022,18030006,54.0,109,467.75181818181807,406.6666666666667,61.08515151515138,1.0,0.0,0.0,1,0.0,0.0,0,2,1,36.3789348,-119.0443905
55,CA5400523,0.25131453974369494,0.7486854602563052,DISTRICT 24 - TULARE,EL MONTE VILLAGE MHP,2022,18030007,47.0,100,464.240909090909,406.666,57.57490909090899,1.0,0.0,0.0,1,0.0,0.0,0,2,1,36.5466777,-119.4253462
56,CA5400641,0.2516902211081116,0.7483097788918883,DISTRICT 24 - TULARE,TEVISTON COMMUNITY SERVICES DISTRICT,2022,18030005,135.0,343,477.0686363636363,406.6666666666667,70.40196969696962,1.0,0.0,0.0,1,0.0,0.0,0,2,1,35.935592,-119.2832161
57,CA1000299,0.25481255001991404,0.7451874499800859,DISTRICT 23 - FRESNO,THREE PALMS MOBILEHOME PARK,2022,18030009,105.0,300,438.2490909090908,407.1693333333333,31.07975757575747,1.0,0.0,0.0,1,0.0,0.0,0,2,1,36.7681724,-119.8342695
58,CA2210001,0.25872805231826973,0.7412719476817305,DISTRICT 11 - MERCED,MARIPOSA PUBLIC UTILITY DIST,2022,18040001,677.0,2000,437.0790909090909,402.9776666666667,34.10142424242417,6.0,0.0,0.0,0,0.0,0.0,1,2,1,37.4959288,-119.980625
59,CA1210022,0.26312816676286177,0.7368718332371381,DISTRICT 01 - KLAMATH,RESORT IMPROVEMENT DISTRICT #1,2022,18010107,656.0,803,288.5563636363637,294.8996666666666,-6.343303030302877,19.0,0.0,0.0,0,0.0,0.0,0,3,0,40.0285932,-124.0653255
60,CA3910027,0.2659163172998018,0.7340836827001981,DISTRICT 10 - STOCKTON,MOUNTAIN HOUSE COMMUNITY SERVICES DIST.,2022,18040003,7001.0,21750,478.865,392.8136666666667,86.05133333333333,1.0,0.0,0.0,0,0.0,0.0,1,2,1,37.7947332,-121.5585487
61,CA5410001,0.2687849426676445,0.7312150573323554,DISTRICT 24 - TULARE,CUTLER PUD,2022,18030007,1234.0,6200,464.240909090909,406.666,57.57490909090899,2.0,0.0,0.0,1,0.0,0.0,0,2,1,36.5251125,-119.2874924
62,CA5410024,0.26991020688102857,0.7300897931189713,DISTRICT 12 - VISALIA,RICHGROVE COMMUNITY SERVICES DISTRICT,2022,18030005,525.0,1617,477.0686363636363,406.6666666666667,70.40196969696962,2.0,0.0,0.0,1,0.0,0.0,0,2,1,35.7984646,-119.1027604
63,CA1500566,0.27051777741242533,0.7294822225875746,DISTRICT 19 - TEHACHAPI,SPRING MOUNTAIN MUTUAL WATER COMPANY,2022,18030005,13.0,26,477.0686363636363,406.6666666666667,70.40196969696962,2.0,1.0,0.0,0,0.0,0.0,0,2,1,35.7029972,-118.8337127
64,CA4710003,0.27076372506476226,0.7292362749352377,DISTRICT 01 - KLAMATH,"FORT JONES, TOWN OF",2022,18010208,347.0,675,389.50590909090914,347.9516666666667,41.55424242424243,2.0,0.0,0.0,0,0.0,0.0,1,3,1,41.6069804,-122.8396128
65,CA5401003,0.27153696561768886,0.7284630343823111,DISTRICT 24 - TULARE,EAST OROSI CSD,2022,18030007,103.0,932,464.240909090909,406.666,57.57490909090899,2.0,0.0,0.0,1,0.0,0.0,0,2,1,36.5483036,-119.2620641
66,CA5400544,0.2721449760038418,0.727855023996158,DISTRICT 24 - TULARE,ALLENSWORTH CSD,2022,18030005,168.0,521,477.0686363636363,406.6666666666667,70.40196969696962,2.0,0.0,0.0,1,0.0,0.0,0,2,1,35.8504105,-119.3841572
67,CA3100019,0.27927407973717555,0.7207259202628247,LPA61 - PLACER COUNTY,NORTH EDEN VALLEY,2022,18020126,21.0,52,465.2959090909091,370.44466666666654,94.85124242424257,2.0,1.0,0.0,0,0.0,0.0,0,2,1,39.0664846,-120.9820369
68,CA1000359,0.286649984849766,0.713350015150234,DISTRICT 23 - FRESNO,FCSA #32/CANTUA CREEK,2022,18030009,79.0,476,438.2490909090908,407.1693333333333,31.07975757575747,1.0,0.0,0.0,0,0.0,0.0,0,2,1,36.5013062,-120.3222993
69,CA1000019,0.2885695409179442,0.711430459082056,DISTRICT 23 - FRESNO,FCSA #30/EL PORVENIR,2022,18030009,56.0,241,438.2490909090908,407.1693333333333,31.07975757575747,1.0,0.0,0.0,0,0.0,0.0,0,2,1,36.5024507,-120.391548
70,CA5010007,0.2942399488301012,0.7057600511698988,DISTRICT 10 - STOCKTON,HILLSVIEW HOMES,2022,18040002,230.0,887,443.1045454545454,393.59299999999996,49.511545454545455,2.0,0.0,0.0,1,0.0,0.0,0,2,1,37.542373,-121.2014824
71,CA1500371,0.3001251592653967,0.6998748407346033,DISTRICT 19 - TEHACHAPI,UNION PACIFIC RAILROAD CO.-KEENE WATER,2022,18030003,26.0,208,481.8599999999999,405.1546666666666,76.70533333333327,0.0,0.0,0.0,0,0.0,0.0,0,2,1,35.224821,-118.61481
72,CA5010008,0.3100201799299323,0.6899798200700676,DISTRICT 10 - STOCKTON,"HUGHSON, CITY OF",2022,18040002,2065.0,6082,443.1045454545454,393.59299999999996,49.511545454545455,3.0,0.0,0.0,0,0.0,0.0,0,2,1,37.5976204,-120.8645633
73,CA0400014,0.31006154502308164,0.6899384549769184,LPA34 - BUTTE COUNTY,LAKE MADRONE WATER DISTRICT,2022,18020121,123.0,297,441.70772727272725,332.6276666666666,109.08006060606067,3.0,0.0,0.0,0,0.0,0.0,0,2,1,39.6451637,-121.4032995
74,CA2400084,0.31044124299970527,0.6895587570002943,DISTRICT 11 - MERCED,EVERGREEN MOBILE HOME PARK,2022,18040001,11.0,36,437.0790909090909,402.9776666666667,34.10142424242417,1.0,0.0,0.0,1,0.0,0.0,0,2,1,37.3801022,-120.5956722
75,CA3400138,0.3134163117536543,0.6865836882463456,LPA64 - SACRAMENTO COUNTY,LOCKE WATER WORKS CO [SWS],2022,18040012,44.0,80,452.47727272727263,372.1929999999999,80.28427272727271,1.0,0.0,0.0,0,0.0,0.0,0,2,1,38.2421371,-121.5116197
76,CA3301990,0.31441157237875644,0.6855884276212434,LPA63 - RIVERSIDE COUNTY,AMEZCUA - GARCIA WATER,2022,18100201,79.0,316,322.4372727272726,252.52333333333328,69.91393939393933,1.0,0.0,0.0,0,0.0,0.0,0,3,1,33.6527224,-116.1723494
77,CA2300638,0.32169975176155924,0.6783002482384406,DISTRICT 03 - MENDOCINO,WILDWOOD CAMPGROUND,2022,18010108,50.0,150,434.8495454545455,361.1343333333334,73.71521212121206,3.0,1.0,0.0,0,0.0,0.0,0,3,1,39.411257,-123.7465339
78,CA2000561,0.3321672285760222,0.6678327714239779,LPA50 - MADERA COUNTY,MD 08 NORTH FORK WATER SYSTEM,2022,18040006,75.0,264,474.41772727272706,398.43333333333334,75.98439393939373,1.0,0.0,0.0,0,0.0,0.0,0,2,1,37.2245996,-119.5090261
79,CA2000592,0.3328189239150771,0.667181076084923,LPA50 - MADERA COUNTY,TWO TWENTY FOUR MOBILE HOME PK,2022,18040006,15.0,35,474.41772727272706,398.43333333333334,75.98439393939373,1.0,0.0,0.0,0,0.0,0.0,0,2,1,37.2302658,-119.5248149
80,CA2300634,0.333503776673996,0.6664962233260039,DISTRICT 03 - MENDOCINO,OCEAN'S EDGE ESTATES,2022,18010108,71.0,250,434.8495454545455,361.1343333333334,73.71521212121206,3.0,1.0,0.0,0,0.0,0.0,0,3,1,39.4900589,-123.782471
81,CA4710007,0.3381402304681946,0.6618597695318054,DISTRICT 01 - KLAMATH,"MONTAGUE, CITY OF",2022,18010207,536.0,1495,410.7677272727273,366.2176666666667,44.55006060606064,3.0,0.0,0.0,0,0.0,0.0,1,3,1,41.7278069,-122.5321655
82,CA3810001,0.340890308889156,0.6591096911108438,DISTRICT 04 - SAN FRANCISCO,SAN FRANCISCO REGIONAL WATER SYSTEM,2022,18050004,255.0,600,454.8836363636364,374.455,80.42863636363643,1.0,0.0,0.0,0,0.0,1.0,1,1,1,37.7809272,-122.419371
83,CA5000408,0.35557471605955204,0.644425283940448,LPA80 - STANISLAUS COUNTY,WESTLEY CSD,2022,18040002,35.0,70,443.1045454545454,393.59299999999996,49.511545454545455,1.0,0.0,0.0,0,1.0,0.0,0,2,1,37.549376,-121.1991036
84,CA3610048,0.3617039231548762,0.6382960768451238,DISTRICT 13 - SAN BERNARDINO,TERRACE WATER COMPANY,2022,18070203,606.0,2000,301.88772727272726,245.40133333333333,56.486393939393935,3.0,1.0,1.0,0,1.0,0.0,0,1,0,34.0800039,-117.3428026
85,CA4710004,0.3684681040872479,0.631531895912752,DISTRICT 01 - KLAMATH,"ETNA, CITY OF",2022,18010208,413.0,720,389.50590909090914,347.9516666666667,41.55424242424243,1.0,0.0,0.0,0,0.0,0.0,1,3,1,41.4563518,-122.8937347
86,CA4710011,0.4066440343850553,0.5933559656149447,DISTRICT 01 - KLAMATH,"YREKA, CITY OF",2022,18010207,3015.0,7786,410.7677272727273,366.2176666666667,44.55006060606064,2.0,0.0,0.0,0,0.0,0.0,1,3,1,41.7272788,-122.6394868
87,CA2300644,0.42492861952780037,0.5750713804721995,DISTRICT 03 - MENDOCINO,WOODSIDE RV PARK,2022,18010108,114.0,280,434.8495454545455,361.1343333333334,73.71521212121206,5.0,0.0,0.0,0,0.0,0.0,0,3,1,39.4040181,-123.8100405
88,CA4210009,0.43626321013287955,0.5637367898671203,DISTRICT 06 - SANTA BARBARA,CUYAMA COMMUNITY SERVICES DISTRICT,2022,18060007,254.0,763,397.3631818181819,324.8599999999999,72.50318181818199,1.0,0.0,0.0,1,0.0,0.0,0,1,0,34.942066,-119.676427
89,CA4910002,0.44049537891784263,0.5595046210821575,DISTRICT 18 - SONOMA,"CLOVERDALE, CITY OF",2022,18010110,3265.0,9157,484.57863636363624,366.7283333333334,117.85030303030283,7.0,0.0,0.0,0,0.0,0.0,1,3,1,38.8063025,-123.0175371
90,CA5110002,0.44380546473527316,0.556194535264727,DISTRICT 21 - VALLEY,CITY OF YUBA CITY,2022,18020159,18867.0,73202,485.93000000000006,388.72700000000003,97.20300000000003,2.0,0.0,0.0,0,0.0,0.0,1,2,1,39.145376,-121.638001
91,CA2410018,0.4543567223851485,0.5456432776148515,DISTRICT 11 - MERCED,SANTA NELLA COUNTY WATER DISTRICT,2022,18060007,668.0,1308,397.3631818181819,324.8599999999999,72.50318181818199,2.0,0.0,0.0,1,0.0,0.0,0,1,0,34.792891,-119.4456659
92,CA2310005,0.4586584595520755,0.5413415404479246,DISTRICT 03 - MENDOCINO,WILLOW COUNTY WATER DISTRICT,2022,18010110,1079.0,3797,484.57863636363624,366.7283333333334,117.85030303030283,5.0,0.0,0.0,0,0.0,0.0,1,3,1,39.1258054,-123.2058172
93,CA1710003,0.4806522598821974,0.5193477401178027,DISTRICT 03 - MENDOCINO,HIGHLANDS MUTUAL WATER COMPANY,2022,18020116,2879.0,9494,485.015,368.26000000000005,116.75499999999994,3.0,0.0,0.0,0,1.0,0.0,1,2,1,38.95323,-122.6361569
94,CA4900646,0.5127448505844509,0.4872551494155493,DISTRICT 18 - SONOMA,ALEXANDER VALLEY ACRES WATER COMPANY,2022,18010110,16.0,37,484.57863636363624,366.7283333333334,117.85030303030283,2.0,0.0,0.0,0,0.0,0.0,1,3,1,38.6462916,-122.8143999
95,CA4900630,0.5180905469996748,0.48190945300032517,DISTRICT 18 - SONOMA,AUSTIN CREEK MUTUAL (SPRINGHILL),2022,18010110,63.0,150,484.57863636363624,366.7283333333334,117.85030303030283,2.0,0.0,0.0,0,0.0,0.0,1,3,1,38.484905,-123.058073
96,CA4110010,0.5207419031323933,0.4792580968676066,DISTRICT 17 - SANTA CLARA,MONTARA WATER AND SANITARY DISTRICT,2022,18050006,1676.0,5289,400.5718181818182,340.07399999999996,60.49781818181822,14.0,0.0,0.0,0,0.0,0.0,0,1,0,37.5345098,-122.5184012
97,CA4310006,0.5266314233588932,0.4733685766411067,DISTRICT 17 - SANTA CLARA,CITY OF MORGAN HILL,2022,18060002,14788.0,46454,390.09681818181804,342.6703333333332,47.42648484848485,16.0,0.0,0.0,0,0.0,0.0,0,1,0,37.114478,-121.6468927
